DATA	temperatura_srednia	opady	STAN PRZED 20:00	STAN NA 20:00	STAN NA 21:00	OPADY (2)	PAROWANIE (3)	PODLAÆ? (4)	ILE PODLAÆ? (6)	WODOCI¥GI? (7)	ile dolaæ?	msc	opl	05.lut																	
31.mar			25000,00	25000,00	25000,00											check	743427														
01.kwi	4	2	25000,00	25000,00	25000,00	0,00	0,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
02.kwi	2	6	25000,00	25000,00	25000,00	0,00	0,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ	zad5.1	88														MAX ZBIORNIKA
03.kwi	4	1	25000,00	25000,00	25000,00	0,00	0,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ		73														25000
04.kwi	4	0,8	25000,00	25000,00	25000,00	0,00	0,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ		3														
05.kwi	3	0	24961,00	24961,00	24961,00	0,00	39,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
06.kwi	4	0	24901,00	24901,00	24901,00	0,00	60,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ	zad5.2:	06.maj	13172,00													
07.kwi	4	1	25000,00	25000,00	25000,00	99,00	0,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
08.kwi	8	1	25000,00	25000,00	25000,00	0,00	0,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
09.kwi	6	2	25000,00	25000,00	25000,00	0,00	0,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
10.kwi	9	2	25000,00	25000,00	25000,00	0,00	0,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
11.kwi	12	3	25000,00	25000,00	25000,00	0,00	0,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
12.kwi	10	2	25000,00	25000,00	25000,00	0,00	0,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
13.kwi	8	1	25000,00	25000,00	25000,00	0,00	0,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ	zad5.3															
14.kwi	6	0	24889,00	24889,00	24889,00	0,00	111,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
15.kwi	14	0	24497,00	24497,00	24497,00	0,00	392,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
16.kwi	10	0	24264,00	24264,00	24264,00	0,00	233,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
17.kwi	6	0	24157,00	24157,00	24157,00	0,00	107,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
18.kwi	4	0	24099,00	24099,00	24099,00	0,00	58,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
19.kwi	7	0	23965,00	23965,00	23965,00	0,00	134,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
20.kwi	10	1	24665,00	24665,00	24665,00	700,00	0,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
21.kwi	11	3,2	25000,00	25000,00	25000,00	335,00	0,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
22.kwi	8	2,2	25000,00	25000,00	25000,00	0,00	0,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
23.kwi	11	1	25000,00	25000,00	25000,00	0,00	0,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
24.kwi	12	1	25000,00	25000,00	25000,00	0,00	0,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
25.kwi	14	1	25000,00	25000,00	25000,00	0,00	0,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
26.kwi	16	0	24520,00	24520,00	12520,00	0,00	480,00	PRAWDA	12000	FA£SZ	0,00	04-2015	0	PRAWDA	FA£SZ																
27.kwi	16	1	13220,00	13220,00	13220,00	700,00	0,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
28.kwi	6	2	14620,00	14620,00	14620,00	1400,00	0,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
29.kwi	7	0	14538,00	14538,00	14538,00	0,00	82,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
30.kwi	10	0	14400,00	14400,00	14400,00	0,00	138,00	FA£SZ	0	FA£SZ	0,00	04-2015	0	FA£SZ	FA£SZ																
01.maj	10	4	17200,00	17200,00	17200,00	2800,00	0,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
02.maj	7	5	20700,00	20700,00	20700,00	3500,00	0,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
03.maj	9	4	23500,00	23500,00	23500,00	2800,00	0,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
04.maj	15	0,4	23780,00	23780,00	23780,00	280,00	0,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
05.maj	18	0,4	24060,00	24060,00	12060,00	280,00	0,00	PRAWDA	12000	FA£SZ	0,00	05-2015	0	PRAWDA	FA£SZ																
06.maj	16	0	11828,00	25000,00	13000,00	0,00	232,00	PRAWDA	12000	PRAWDA	13172,00	05-2015	154,63928	PRAWDA	FA£SZ																
07.maj	14	0	12795,00	12795,00	12795,00	0,00	205,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
08.maj	10	0	12673,00	12673,00	12673,00	0,00	122,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
09.maj	14	0,3	12883,00	12883,00	12883,00	210,00	0,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
10.maj	12	0,1	12953,00	12953,00	12953,00	70,00	0,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
11.maj	11	0	12811,00	12811,00	12811,00	0,00	142,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
12.maj	16	3	14911,00	14911,00	14911,00	2100,00	0,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
13.maj	12	0	14725,00	14725,00	14725,00	0,00	186,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
14.maj	10	0	14585,00	14585,00	14585,00	0,00	140,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
15.maj	12	0	14403,00	14403,00	14403,00	0,00	182,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
16.maj	10	1,8	15663,00	15663,00	15663,00	1260,00	0,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
17.maj	11	2,8	17623,00	17623,00	17623,00	1960,00	0,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
18.maj	12	1,9	18953,00	18953,00	18953,00	1330,00	0,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
19.maj	16	2,2	20493,00	20493,00	20493,00	1540,00	0,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
20.maj	13	2,3	22103,00	22103,00	22103,00	1610,00	0,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
21.maj	11	5,4	25000,00	25000,00	25000,00	2897,00	0,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
22.maj	12	5,5	25000,00	25000,00	25000,00	0,00	0,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
23.maj	12	5,2	25000,00	25000,00	25000,00	0,00	0,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
24.maj	14	3	25000,00	25000,00	25000,00	0,00	0,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
25.maj	15	0	24564,00	24564,00	24564,00	0,00	436,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
26.maj	14	0	24177,00	24177,00	24177,00	0,00	387,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
27.maj	10	0	23947,00	23947,00	23947,00	0,00	230,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
28.maj	12	0,1	24017,00	24017,00	24017,00	70,00	0,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
